ID,ln(Alanine),Arginine,Asparagine,Aspartic_acid,ln(Glutamic_acid),ln(Glutamine),Glycine,-1/Isoleucine,Leucine,ln(Lysine),Phenylalanine,ln(Serine),Threonine,ln(Tyrosine),Area,Length,Width,Diameter,ln(KHI),Weight,-1/(500-HFN)
32,-0.163709545,0.568569466,1.813758528,1.84891688,0.378136335,-2.218469908,0.237494078,-10.83542151,0.153038963,-1.570367778,0.256079482,-1.6846961,0.090113112,-0.977724108,20.1,6.933333333,3.666666667,3.102532321,4.233540898,31.26914218,-0.008510638
33,0.27617883,1.129082546,2.755138024,1.631289271,0.577750709,-1.083501359,0.346621041,-7.948860592,0.193349876,-1.228378563,0.271430969,-1.393234609,0.118582423,-0.249075384,20.16666667,6.866666667,3.733333333,3.297793407,4.578997778,32.88598711,-0.004237288
34,-0.191833721,0.791459521,2.097824016,2.266006141,0.510536916,-1.933787199,0.277682012,-11.38671348,0.185085638,-1.439369128,0.278896298,-1.598891611,0.099864944,-0.620083697,20.96666667,7.2,3.7,3.234926424,4.102313751,32.76430546,-0.006578947
35,-0.373135,0.449478551,1.143774759,2.194855263,0.067359173,-2.564304751,0.204071249,-15.32664671,0.112546501,-1.660539836,0.227653052,-1.893794667,0.072176109,-1.046403253,22.73333333,7.433333333,3.866666667,3.575616841,3.999492604,39.38378727,-0.011764706
36,-0.078901128,0.94154709,2.12849822,2.128727097,0.581854041,-1.677793806,0.271759992,-9.059524428,0.164010592,-1.423039531,0.262596948,-1.359414418,0.111408468,-0.787860359,19.9,6.9,3.666666667,3.414422565,4.24613275,33.33773019,-0.007692308
37,-0.069805596,0.618068194,1.959756089,2.75192431,0.444821097,-1.973647031,0.263839876,-11.25647156,0.190986921,-1.432078312,0.288082218,-1.664069298,0.097184698,-0.641328255,20.33333333,6.9,3.733333333,3.245440265,4.151920694,32.3734032,-0.007326007
38,-0.040917179,0.942395548,1.896161193,2.020906937,0.381688783,-2.16296136,0.26844902,-10.30339437,0.162386256,-1.36724842,0.254593146,-1.600581625,0.097308491,-0.619515821,20.43333333,6.8,3.833333333,3.550886811,4.17500194,34.35377208,-0.006666667
39,-0.563636683,0.840743226,2.075336566,2.139599833,0.445297118,-1.648606795,0.275785749,-8.162263913,0.170936692,-1.384640498,0.286458414,-1.430926442,0.103912305,-0.987213407,20.6,6.9,3.8,3.171226126,4.177003715,32.20304885,-0.002478315
40,-0.640436498,0.598725842,1.59902182,2.043380596,0.293992957,-2.222042344,0.209542651,-13.04305816,0.16346668,-1.412408121,0.265934314,-1.722673746,0.089086671,-1.019682357,18.9,6.733333333,3.6,3.185338405,4.058184881,29.9793167,-0.00877193
41,-0.126061676,0.899261424,1.777162565,1.162248029,0.168274825,-2.303890084,0.240292131,-13.99697861,0.147500114,-1.391086421,0.243196625,-1.814159268,0.080841711,-0.864761886,20.76666667,7.033333333,3.733333333,3.376352614,4.142047125,34.89677642,-0.010050251
